StadiumName,count,mean
Arrowhead Stadium,27,9.225520282186949
Bank of America Stadium,9,7.123809523809524
Candlestick Park,2,10.318333333333332
CenturyLink Field,23,8.125542443064182
Empower Field at Mile High,24,10.390230654761904
FedExField,9,9.866798941798942
FirstEnergy Stadium,35,11.877965986394557
Foxboro Stadium,1,8.297857142857143
Giants Stadium,34,7.636582633053221
Gillette Stadium,34,9.135034059078176
Hard Rock Stadium,11,8.714978354978356
Heinz Field,23,8.600020703933748
Husky Stadium,5,10.760666666666667
Lambeau Field,64,10.492548363095239
Lincoln Financial Field,8,12.280744047619049
M&T Bank Stadium,8,8.514553571428571
MetLife Stadium,18,8.463597883597885
Mile High Stadium,2,12.310714285714287
New Era Field,38,9.242822681704261
Nissan Stadium,7,7.0039795918367345
Oakland Coliseum,4,9.257541666666668
Paul Brown Stadium,18,7.187261904761905
Raymond James Stadium,2,8.837142857142858
Soldier Field,37,11.102555126555126
TCF Bank Stadium,10,12.522833333333335
TIAA Bank Field,1,6.285714285714286
Three Rivers Stadium,2,8.02
